playerId,batsman,strike_rate
1,V Kohli,131.987351
2,SK Raina,137.5383044
3,RG Sharma,130.9994655
4,DA Warner,143.2867558
5,S Dhawan,125.5388813
6,CH Gayle,152.2543742
7,MS Dhoni,138.8022458
8,RV Uthappa,130.7305531
9,AB de Villiers,152.1019986
10,G Gambhir,124.0882353
11,AM Rahane,122.3747207
12,KD Karthik,130.4301458
13,SR Watson,139.9064692
14,AT Rayudu,126.6437309
15,YK Pathan,143.8392857
16,BB McCullum,132.0823799
17,PA Patel,121.7687075
18,MK Pandey,121.3860544
19,KA Pollard,147.5252794
20,Yuvraj Singh,129.8915606
21,V Sehwag,156.2428408
22,M Vijay,123.0513308
23,SE Marsh,133.3869239
24,JH Kallis,109.3735917
25,DR Smith,135.665529
26,SR Tendulkar,120.1235203
27,SV Samson,130.8328411
28,R Dravid,115.823122
29,AC Gilchrist,138.6729223
30,SPD Smith,129.8089172
31,JP Duminy,124.3723209
32,KL Rahul,139.2156863
33,MEK Hussey,122.9477612
34,RA Jadeja,123.2291002
35,F du Plessis,127.5531186
36,DA Miller,140.0150716
37,DPMD Jayawardene,123.8356164
38,WP Saha,131.8656716
39,RR Pant,164.9859944
40,AJ Finch,130.7057057
41,MK Tiwary,117.2890733
42,SS Iyer,128.3118849
43,KC Sangakkara,121.629416
44,NV Ojha,118.883792
45,Mandeep Singh,125.1018745
46,DJ Bravo,129.3506494
47,Q de Kock,133.2732191
48,KK Nair,128.8478452
49,S Badrinath,119.0909091
50,AD Russell,188.1648936
51,GJ Maxwell,162.1527778
52,BJ Hodge,125.3357207
53,JC Buttler,151.9042437
54,SC Ganguly,106.9785884
55,DJ Hussey,123.6669785
56,KS Williamson,135.7883817
57,CA Lynn,141.6941694
58,SS Tiwary,119.924812
59,MA Agarwal,128.4412955
60,TM Dilshan,114.612326
61,IK Pathan,121.3080169
62,ML Hayden,138.0299252
63,N Rana,135.2722772
64,KM Jadhav,127.7320799
65,HH Pandya,157.0391872
66,LMP Simmons,126.7920094
67,LRPL Taylor,124.3276284
68,M Vohra,132.0730117
69,KP Pietersen,135.2702703
70,AS Yadav,133.3780161
71,Y Venugopal Rao,118.1055156
72,JA Morkel,142.9618768
73,A Symonds,130.2139037
74,CL White,127.7631579
75,MC Henriques,128.1746032
76,KH Pandya,147.2906404
77,HH Gibbs,110.4738155
78,STR Binny,128.8433382
79,EJG Morgan,121.6524217
80,Harbhajan Singh,139.1959799
81,AR Patel,127.388535
82,MS Bisla,114.4906743
83,SP Narine,171.3973799
84,ST Jayasuriya,144.6327684
85,RA Tripathi,137.6130199
86,Shakib Al Hasan,127.5510204
87,GC Smith,110.960961
88,AD Mathews,126.3525305
89,Ishan Kishan,132.0150659
90,TL Suman,117.9755672
91,AM Nayar,117.0731707
92,GJ Bailey,122.0994475
93,BA Stokes,133.2640333
94,SA Yadav,130.7526882
95,JD Ryder,132.4561404
96,P Shaw,142.7895981
97,PP Chawla,112.5240848
98,HM Amla,141.7690418
99,V Shankar,135.3365385
100,CJ Anderson,127.1867612
101,RS Bopara,117.4778761
102,JP Faulkner,136.1757106
103,DJ Hooda,127.3607748
104,CH Morris,158.7155963
105,M Manhas,109.5948827
106,S Gill,135.2785146
107,OA Shah,131.0880829
108,PC Valthaty,121.686747
109,MP Stoinis,131.4917127
110,J Bairstow,161.6197183
111,DT Christian,120.1072386
112,Gurkeerat Singh,129.5321637
113,E Lewis,133.6391437
114,NLTC Perera,139.0163934
115,SA Asnodkar,124.7787611
116,JR Hopes,136.7213115
117,SN Khan,144.5614035
118,J Botha,114.2458101
119,LR Shukla,117.0520231
120,AL Menaria,112.6404494
121,MV Boucher,127.9220779
122,CA Pujara,99.74424552
123,Azhar Mahmood,128.4768212
124,R Ashwin,111.9047619
125,DB Ravi Teja,118.29653
126,S Sohal,126.8965517
127,A Mishra,95.06493506
128,P Negi,126.7361111
129,R Bhatia,120.4225352
130,P Kumar,108.2802548
131,AP Tare,124.1758242
132,SW Billings,134.8
133,JEC Franklin,109
134,RN ten Doeschate,139.3162393
135,KV Sharma,117.4074074
136,R Vinay Kumar,114.3911439
137,DB Das,116.9230769
138,C de Grandhomme,136.32287
139,M Ali,170.6214689
140,LA Pomersbach,123.7704918
141,UBT Chand,100
142,SP Goswami,101.7241379
143,DJG Sammy,122.406639
144,Y Nagar,110.8949416
145,VVS Laxman,106.0150376
146,GH Vihari,89.74358974
147,A Ashish Reddy,146.5968586
148,B Chipli,112
149,MJ Lumb,144.0414508
150,MJ Guptill,138.2653061
151,R Sathish,116.8831169
152,M Kaif,104.0160643
153,SM Katich,130.9782609
154,BCJ Cutting,169.5035461
155,MD Mishra,113.9423077
156,MR Marsh,114.7959184
157,K Goel,94.7826087
158,AA Jhunjhunwala,103.3333333
159,TM Head,138.5135135
160,PD Collingwood,130.1282051
161,SK Warne,92.95774648
162,SP Fleming,118.7878788
163,AS Raut,116.1676647
164,BJ Rohrer,136.8794326
165,Salman Butt,119.8757764
166,YV Takawale,107.8651685
167,Bipul Sharma,154.5454545
168,C Ingram,119.4805195
169,B Kumar,97.35449735
170,FY Fazal,106.3953488
171,JJ Roy,135.5555556
172,CR Brathwaite,165.4545455
173,AC Voges,127.4647887
174,AB Agarkar,117.7631579
175,C Munro,126.2411348
176,MF Maharoof,145.0819672
177,DH Yagnik,125.9259259
178,N Pooran,160.3773585
179,CM Gautam,114.1891892
180,MG Johnson,104.3478261
181,MN van Wyk,126.5151515
182,DW Steyn,105.7324841
183,PA Reddy,102.5
184,R Parag,127.7777778
185,MN Samuels,94.15204678
186,Ankit Sharma,148.1481481
187,RE van der Merwe,112.7659574
188,R McLaren,94.08284024
189,R Dhawan,113.3333333
190,A Hales,127.1186441
191,SM Pollock,132.4324324
192,S Vidyut,134.2592593
193,K Gowtham,174.6987952
194,Mohammad Nabi,156.043956
195,N Saini,98.61111111
196,Sachin Baby,135.6435644
197,S Anirudha,123.6363636
198,SB Styris,98.4962406
199,W Jaffer,107.4380165
200,S Gopal,109.3220339
201,Kamran Akmal,164.1025641
202,D Wiese,141.1111111
203,P Dogra,92.02898551
204,UT Khawaja,127
205,M Morkel,140
206,MC Juneja,98.42519685
207,BB Samantray,110.619469
208,B Lee,129.1666667
209,MM Sharma,105.1282051
210,AB McDonald,124.2424242
211,UT Yadav,98.38709677
212,Niraj Patel,102.5423729
213,DL Vettori,111.0091743
214,AC Blizzard,134.8314607
215,RJ Harris,105.4054054
216,Misbah-ul-Haq,144.4444444
217,Z Khan,84.7826087
218,D Short,117.1717172
219,KK Cooper,170.5882353
220,TG Southee,127.7777778
221,R Tewatia,129.2134831
222,M Kartik,104.6296296
223,DJ Harris,109.9009901
224,HV Patel,157.3529412
225,JDP Oram,98.14814815
226,LJ Wright,176.6666667
227,Rashid Khan,166.6666667
228,RJ Quiney,100.9803922
229,DS Kulkarni,95.28301887
230,MS Gony,141.4285714
231,SD Chitnis,111.2359551
232,MJ Clarke,104.2553191
233,CJ Ferguson,84.48275862
234,MA Starc,97.95918367
235,S Curran,172.7272727
236,AJ Tye,131.4285714
237,PR Shah,101.0989011
238,DJ Jacobs,94.84536082
239,S Rana,112.345679
240,RT Ponting,71.65354331
241,AD Nath,91.83673469
242,S Hetmyer,123.2876712
243,MJ McClenaghan,125.7142857
244,Iqbal Abdulla,106.0240964
245,SL Malinga,88.88888889
246,AP Majumdar,114.4736842
247,J Archer,137.704918
248,RE Levi,113.6986301
249,LA Carseldine,119.1176471
250,WPUJC Vaas,110.9589041
251,Shahid Afridi,176.0869565
252,AD Mascarenhas,101.2820513
253,PJ Cummins,140
254,S Rutherford,145.2830189
255,B Akhil,138.1818182
256,IR Jaggi,78.35051546
257,TR Birt,129.3103448
258,Washington Sundar,150
259,M Klinger,94.80519481
260,RR Sarwan,97.33333333
261,L Livingstone,151.0638298
262,DL Chahar,161.3636364
263,K Rabada,89.74358974
264,AA Bilakhia,81.17647059
265,H Klaasen,117.5438596
266,RR Powar,106.3492063
267,R Singh,101.5384615
268,R Sharma,88
269,Mohammad Hafeez,78.04878049
270,CR Woakes,95.45454545
271,WD Parnell,84
272,Anirudh Singh,95.45454545
273,A Flintoff,116.9811321
274,S Aravind,105.3571429
275,WA Mota,76.71232877
276,JD Unadkat,103.7735849
277,M Rawat,79.71014493
278,I Sharma,90.16393443
279,J Suchith,117.3913043
280,Mohammed Shami,103.8461538
281,A Chopra,74.64788732
282,RR Rossouw,103.9215686
283,RP Singh,72.22222222
284,NM Coulter-Nile,104
285,Shoaib Malik,110.6382979
286,KB Arun Karthik,102
287,R Rampaul,104.0816327
288,RV Gomez,100
289,SB Bangar,84.48275862
290,VR Aaron,79.03225806
291,AG Paunikar,85.96491228
292,Yashpal Singh,71.21212121
293,Kuldeep Yadav,83.33333333
294,Sunny Singh,138.7096774
295,AB Barath,100
296,SK Trivedi,71.18644068
297,JDS Neesham,91.30434783
298,A Nehra,69.49152542
299,LPC Silva,160
300,S Dube,121.2121212
301,BR Dunk,114.2857143
302,Umar Gul,205.2631579
303,AUK Pathan,169.5652174
304,DJ Thornely,75
305,MM Patel,95.12195122
306,SP Jackson,122.5806452
307,JO Holder,122.5806452
308,Anureet Singh,80.43478261
309,S Narwal,137.037037
310,JJ Bumrah,97.36842105
311,Sohail Tanvir,124.137931
312,L Balaji,76.59574468
313,KW Richardson,92.30769231
314,Joginder Sharma,120
315,AN Ahmed,138.4615385
316,SN Thakur,171.4285714
317,A Kumble,76.08695652
318,B Sumanth,94.59459459
319,S Sreesanth,65.38461538
320,AP Dole,154.5454545
321,A Mithun,136
322,L Ronchi,100
323,M Santner,143.4782609
324,D Salunkhe,137.5
325,Basil Thampi,96.96969697
326,RJ Peterson,110.3448276
327,Mohammed Siraj,88.88888889
328,S Nadeem,41.55844156
329,S Sriram,86.11111111
330,T Taibu,119.2307692
331,M Markande,103.4482759
332,J Syed Mohammad,111.5384615
333,VH Zol,111.5384615
334,SB Jakati,96.55172414
335,M Lomror,116.6666667
336,JM Kemp,108.3333333
337,NL McCullum,123.8095238
338,AB Dinda,55.31914894
339,Sandeep Sharma,68.42105263
340,A Choudhary,125
341,S Chanderpaul,80.64516129
342,KC Cariappa,114.2857143
343,MA Khote,120
344,ER Dwivedi,171.4285714
345,PJ Sangwan,61.53846154
346,BMAJ Mendis,85.18518519
347,T Curran,85.18518519
348,J Arunkumar,100
349,NS Naik,74.19354839
350,SW Tait,88.46153846
351,MS Wade,66.66666667
352,GB Hogg,100
353,YS Chahal,45.83333333
354,CA Ingram,80.76923077
355,DE Bollinger,95.45454545
356,RR Raje,111.1111111
357,M Muralitharan,68.96551724
358,K Paul,83.33333333
359,AC Thomas,105.2631579
360,H Brar,166.6666667
361,Imran Tahir,74.07407407
362,NJ Maddinson,95.23809524
363,Harpreet Singh,76.92307692
364,R Shukla,82.60869565
365,DR Martyn,79.16666667
366,R Bishnoi,111.7647059
367,P Sahu,146.1538462
368,A Mukund,86.36363636
369,Y Gnaneswara Rao,111.7647059
370,P R Barman,79.16666667
371,Vishnu Vinod,73.07692308
372,JJ van der Wath,112.5
373,Harmeet Singh,150
374,BJ Haddin,163.6363636
375,PV Tambe,46.15384615
376,DS Lehmann,100
377,Parvez Rasool,85
378,AS Rajpoot,56.66666667
379,PP Ojha,36.36363636
380,CK Kapugedera,69.56521739
381,S Singh,94.11764706
382,SA Abbott,115.3846154
383,C Madan,78.94736842
384,GR Napier,93.75
385,VY Mahesh,57.69230769
386,RD Chahar,115.3846154
387,A Joseph,115.3846154
388,SD Lad,115.3846154
389,F Behardien,107.6923077
390,MDKJ Perera,107.6923077
391,S Badree,56.52173913
392,S Mavi,86.66666667
393,DT Patil,100
394,KJ Abbott,162.5
395,D Shorey,76.47058824
396,Swapnil Singh,60
397,T Thushara,66.66666667
398,TA Boult,85.71428571
399,DAJ Bracewell,133.3333333
400,M Ur Rahman,109.0909091
401,AR Bawne,100
402,AA Chavan,109.0909091
403,Karanveer Singh,70.58823529
404,K Upadhyay,133.3333333
405,S Kaul,42.85714286
406,M Ntini,61.11111111
407,BB Sran,78.57142857
408,T Henderson,68.75
409,T Kohli,57.89473684
410,DNT Zoysa,122.2222222
411,X Thalaivan Sargunam,58.82352941
412,J Theron,83.33333333
413,AG Murtaza,71.42857143
414,TD Paine,38.46153846
415,KAJ Roach,111.1111111
416,SMSM Senanayake,58.82352941
417,D du Preez,76.92307692
418,AA Noffke,90
419,SM Harwood,69.23076923
420,Jaskaran Singh,72.72727273
421,CJ McKay,53.33333333
422,J Searles,133.3333333
423,TS Mills,72.72727273
424,P Chopra,133.3333333
425,TM Srivastava,72.72727273
426,CK Langeveldt,88.88888889
427,UA Birla,50
428,VS Malik,100
429,Pankaj Singh,58.33333333
430,AF Milne,58.33333333
431,N Naik,43.75
432,AN Ghosh,87.5
433,Ankit Soni,87.5
434,I Malhotra,175
435,R Bhui,41.17647059
436,I Sodhi,41.17647059
437,DM Bravo,120
438,SS Shaikh,85.71428571
439,SB Joshi,42.85714286
440,J Yadav,60
441,BA Bhatt,85.71428571
442,S Sharma,200
443,PSP Handscomb,50
444,B Stanlake,250
445,A Zampa,62.5
446,R Salam,125
447,Shivam Sharma,166.6666667
448,SJ Srivastava,100
449,P Awana,35.71428571
450,KMDN Kulasekara,250
451,B Laughlin,38.46153846
452,DP Nannes,30.76923077
453,A Uniyal,57.14285714
454,FH Edwards,80
455,A Chandila,57.14285714
456,A Dananjaya,80
457,CRD Fernando,133.3333333
458,GD McGrath,80
459,M Ashwin,50
460,H Vihari,50
461,Avesh Khan,133.3333333
462,RS Sodhi,200
463,VRV Singh,200
464,CJ Jordan,60
465,S Tyagi,75
466,A Turner,30
467,R Ninan,50
468,D Kalyankrishna,42.85714286
469,JE Taylor,100
470,H Viljoen,60
471,BAW Mendis,50
472,Mohammad Asif,50
473,Kamran Khan,60
474,Younis Khan,42.85714286
475,KP Appanna,66.66666667
476,RS Gavaskar,25
477,SB Wagh,66.66666667
478,Mohammad Ashraful,20
479,Mashrafe Mortaza,100
480,S Randiv,50
481,Shoaib Akhtar,28.57142857
482,RG More,100
483,A Singh,20
484,VS Yeligati,100
485,H Das,40
486,SE Bond,50
487,PM Sarvesh Kumar,50
488,Shoaib Ahmed,16.66666667
489,Mustafizur Rahman,33.33333333
490,LH Ferguson,100
491,H Gurney,20
492,L Plunkett,33.33333333
493,BE Hendricks,33.33333333
494,P Parameswaran,50
495,DP Vijaykumar,100
496,DJ Muthuswami,33.33333333
497,M Wood,33.33333333
498,NJ Rimmington,100
499,P Krishna,14.28571429
500,M de Lange,50
501,K Ahmed,0
502,C Nanda,0
503,YA Abdulla,0
504,U Kaul,0
505,P Raj,0
506,S Lamichhane,0
507,RR Bhatkal,0
508,IC Pandey,0
509,L Ablish,0
510,Abdur Razzak,0
511,Sunny Gupta,0
512,ND Doshi,0
513,J Denly,0
514,S Ladda,0
515,V Pratap Singh,0
516,S Kaushik,0
